,sID,skew,mean IKI
0,s09,2.1889285344637104,0.12906315292891793
1,s20,4.537098800748636,0.1353373004162627
2,s175,2.8122251025278864,0.19125182317250988
3,s176,,
4,s178,9.766887402355708,0.15550166125459508
5,s180,3.70421698245393,0.13267431959069728
6,s181,4.930081692502351,0.11698566155788444
7,s182,2.506406931251461,0.169156941938826
8,s183,4.123232371365798,0.16017869254240708
9,s189,3.2838030288506594,0.17302241361362222
10,s190,2.493625809046282,0.1617946989113759
11,s198,3.3852641878765444,0.16085354636193896
12,s207,2.5726487069379287,0.18759968665139953
13,s209,4.537098800748636,0.1353373004162627
14,s210,3.5358541133751125,0.1776141811996899
15,s212,4.541527280622504,0.17373885256457597
16,s217,2.012042957116872,0.13868896807300532
17,s219,3.658609384786542,0.24866578927566943
18,s224,5.852692949664677,0.14965644185451593
19,s240,,
20,s254,,
21,s261,1.6573984403890276,0.137922648869909
22,s262,7.257389545069941,0.12954854425531936
23,s263,,
24,s267,,
